episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1071,15.0,15
47,1130,59.0,59
48,1172,42.0,42
49,1205,33.0,33
50,1246,41.0,41
51,1256,10.0,10
52,1284,28.0,28
53,1311,27.0,27
54,1322,11.0,11
55,1345,23.0,23
56,1364,19.0,19
57,1402,38.0,38
58,1440,38.0,38
59,1449,9.0,9
60,1462,13.0,13
61,1479,17.0,17
62,1495,16.0,16
63,1507,12.0,12
64,1518,11.0,11
65,1540,22.0,22
66,1557,17.0,17
67,1579,22.0,22
68,1591,12.0,12
69,1621,30.0,30
70,1637,16.0,16
71,1655,18.0,18
72,1683,28.0,28
73,1698,15.0,15
74,1718,20.0,20
75,1732,14.0,14
76,1781,49.0,49
77,1799,18.0,18
78,1809,10.0,10
79,1837,28.0,28
80,1848,11.0,11
81,1890,42.0,42
82,1915,25.0,25
83,1942,27.0,27
84,1951,9.0,9
85,1973,22.0,22
86,2000,27.0,27
87,2014,14.0,14
88,2025,11.0,11
89,2057,32.0,32
90,2071,14.0,14
91,2114,43.0,43
92,2135,21.0,21
93,2155,20.0,20
94,2171,16.0,16
95,2222,51.0,51
96,2233,11.0,11
97,2242,9.0,9
98,2253,11.0,11
99,2272,19.0,19
100,2289,17.0,17
101,2302,13.0,13
102,2316,14.0,14
103,2362,46.0,46
104,2376,14.0,14
105,2394,18.0,18
106,2435,41.0,41
107,2446,11.0,11
108,2468,22.0,22
109,2504,36.0,36
110,2532,28.0,28
111,2551,19.0,19
112,2582,31.0,31
113,2610,28.0,28
114,2641,31.0,31
115,2686,45.0,45
116,2712,26.0,26
117,2735,23.0,23
118,2754,19.0,19
119,2766,12.0,12
120,2792,26.0,26
121,2829,37.0,37
122,2844,15.0,15
123,2858,14.0,14
124,2898,40.0,40
125,2914,16.0,16
126,2930,16.0,16
127,2942,12.0,12
128,3031,89.0,89
129,3088,57.0,57
130,3111,23.0,23
131,3148,37.0,37
132,3179,31.0,31
133,3204,25.0,25
134,3219,15.0,15
135,3283,64.0,64
136,3309,26.0,26
137,3318,9.0,9
138,3353,35.0,35
139,3362,9.0,9
140,3372,10.0,10
141,3384,12.0,12
142,3407,23.0,23
143,3420,13.0,13
144,3437,17.0,17
145,3448,11.0,11
146,3457,9.0,9
147,3468,11.0,11
148,3483,15.0,15
149,3502,19.0,19
150,3511,9.0,9
151,3524,13.0,13
152,3537,13.0,13
153,3555,18.0,18
154,3575,20.0,20
155,3602,27.0,27
156,3618,16.0,16
157,3634,16.0,16
158,3643,9.0,9
159,3653,10.0,10
160,3666,13.0,13
161,3679,13.0,13
162,3702,23.0,23
163,3713,11.0,11
164,3737,24.0,24
165,3754,17.0,17
166,3778,24.0,24
167,3790,12.0,12
168,3802,12.0,12
169,3813,11.0,11
170,3841,28.0,28
171,3853,12.0,12
172,3867,14.0,14
173,3878,11.0,11
174,3895,17.0,17
175,3911,16.0,16
176,3928,17.0,17
